06,2023
John:1:06/01/2023,Water:17:31.04,Electricity:450:142.25,Garbage Disposal:1:33.00,Gas:70:17.55
Mark:1:06/01/2023,Water:50:91.28,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
Lee:1:06/01/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:31.50,Gas:0:0.00
Jack:1:06/01/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:31.50,Gas:0:0.00
stupid:1:06/01/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:31.50,Gas:0:0.00
Sam:1:06/01/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:31.50,Gas:0:0.00
SKHG:1:06/01/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:31.50,Gas:0:0.00
as:1:06/01/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:31.50,Gas:0:0.00
John:2:07/02/2023,Water:17:31.04,Electricity:350:110.64,Garbage Disposal:1:33.00,Gas:70:17.55
Mark:2:07/02/2023,Water:50:91.28,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
Lee:2:07/02/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
Jack:2:07/02/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
stupid:2:07/02/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
Sam:2:07/02/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
SKHG:2:07/02/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
as:2:07/02/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
John:3:07/03/2023,Water:17:31.04,Electricity:400:0.00,Garbage Disposal:1:0.00,Gas:70:17.71
Mark:3:07/03/2023,Water:50:91.28,Electricity:0:0.00,Garbage Disposal:1:0.00,Gas:0:0.00
Lee:3:07/03/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:0.00,Gas:0:0.00
Jack:3:07/03/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:0.00,Gas:0:0.00
stupid:3:07/03/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:0.00,Gas:0:0.00
Sam:3:07/03/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:0.00,Gas:0:0.00
SKHG:3:07/03/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:0.00,Gas:0:0.00
123:1:07/03/2023,Water:9:16.43,Electricity:57:0.00,Garbage Disposal:1:0.00,Gas:10:2.53
zxc:1:07/03/2023,Water:9:16.43,Electricity:57:0.00,Garbage Disposal:1:0.00,Gas:10:2.53
John:4:07/04/2023,Water:17:31.04,Electricity:400:127.60,Garbage Disposal:1:33.00,Gas:70:17.71
Mark:4:07/04/2023,Water:50:91.28,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
Lee:4:07/04/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
Jack:4:07/04/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
stupid:4:07/04/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
Sam:4:07/04/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
SKHG:4:07/04/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
123:2:07/04/2023,Water:9:16.43,Electricity:57:18.18,Garbage Disposal:1:33.00,Gas:10:2.53
zxc:2:07/04/2023,Water:9:16.43,Electricity:57:18.18,Garbage Disposal:1:33.00,Gas:10:2.53
John:5:08/05/2023,Water:17:31.04,Electricity:400:127.60,Garbage Disposal:1:33.00,Gas:70:17.71
Mark:5:08/05/2023,Water:50:91.28,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
Lee:5:08/05/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
Jack:5:08/05/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
stupid:5:08/05/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
Sam:5:08/05/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
SKHG:5:08/05/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
123:3:08/05/2023,Water:9:16.43,Electricity:57:18.18,Garbage Disposal:1:33.00,Gas:10:2.53
John:6:11/06/2023,Water:17:31.04,Electricity:387:123.45,Garbage Disposal:1:33.00,Gas:70:17.71
Lee:6:11/06/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
Jack:6:11/06/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
Sam:6:11/06/2023,Water:0:0.00,Electricity:0:0.00,Garbage Disposal:1:33.00,Gas:0:0.00
